Reporting Area,MMWR Year,MMWR Week,"Rabies, Animal, Current week","Rabies, Animal, Current week, flag","Rabies, Animal, Previous 52 weeks Max†","Rabies, Animal, Previous 52 weeks Max†, flag","Rabies, Animal, Cum 2019†","Rabies, Animal, Cum 2019†, flag","Rabies, Animal, Cum 2018†","Rabies, Animal, Cum 2018†, flag","Rabies, Human, Current week","Rabies, Human, Current week, flag","Rabies, Human, Previous 52 weeks Max†","Rabies, Human, Previous 52 weeks Max†, flag","Rabies, Human, Cum 2019†","Rabies, Human, Cum 2019†, flag","Rabies, Human, Cum 2018†","Rabies, Human, Cum 2018†, flag",Location 1,Location 2,Reporting Area Sort
PACIFIC,2019,4,,-,12,,2,,2,,,-,0,,,-,,-,,PACIFIC,20190457
SOUTH ATLANTIC,2019,4,7,,24,,27,,184,,,-,1,,,-,1,,,SOUTH ATLANTIC,20190428
GUAM,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",,20190466
KENTUCKY,2019,4,,-,8,,,-,1,,,-,0,,,-,,-,"KENTUCKY
(37.526683, -85.290484)",,20190440
NEW YORK,2019,4,3,,29,,14,,38,,,-,0,,,-,,-,"NEW YORK
(42.921241, -75.59655)",,20190411
MICHIGAN,2019,4,,-,7,,1,,2,,,-,0,,,-,,-,"MICHIGAN
(44.874798, -85.730977)",,20190417
NEVADA,2019,4,,-,2,,,-,,-,,-,0,,,-,,-,"NEVADA
(39.283294, -114.916992)",,20190453
KANSAS,2019,4,,-,3,,3,,1,,,-,0,,,-,,-,"KANSAS
(38.484729, -98.38018)",,20190422
UTAH,2019,4,,-,2,,,-,,-,,-,1,,,-,,-,"UTAH
(39.323779, -111.678222)",,20190455
MOUNTAIN,2019,4,1,,6,,3,,3,,,-,1,,,-,,-,,MOUNTAIN,20190448
US TERRITORIES,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20190463
NEW JERSEY,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"NEW JERSEY
(40.110253, -74.655514)",,20190410
OKLAHOMA,2019,4,,-,8,,2,,1,,,-,0,,,-,,-,"OKLAHOMA
(35.583449, -97.508297)",,20190446
IDAHO,2019,4,,-,3,,,-,,-,,-,0,,,-,,-,"IDAHO
(44.389073, -114.659366)",,20190451
INDIANA,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"INDIANA
(39.919991, -86.2818)",,20190416
DELAWARE,2019,4,,-,0,,,-,,-,,-,1,,,-,,-,"DELAWARE
(38.994926, -75.452394)",,20190429
CONNECTICUT,2019,4,,-,3,,,-,1,,,-,0,,,-,,-,"CONNECTICUT
(41.575155, -72.738288)",,20190403
NEW ENGLAND,2019,4,,-,13,,4,,8,,,-,0,,,-,,-,,NEW ENGLAND,20190402
IOWA,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"IOWA
(42.074659, -93.500061)",,20190421
NORTHERN MARIANA ISLANDS,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",,20190465
OHIO,2019,4,,-,6,,1,,,-,,-,0,,,-,,-,"OHIO
(40.415534, -82.70936)",,20190418
MISSOURI,2019,4,1,,4,,1,,,-,,-,0,,,-,,-,"MISSOURI
(38.3675, -92.477244)",,20190424
PUERTO RICO,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",,20190467
