Reporting Area,MMWR Year,MMWR Week,"Rabies, Animal, Current week","Rabies, Animal, Current week, flag","Rabies, Animal, Previous 52 weeks Max†","Rabies, Animal, Previous 52 weeks Max†, flag","Rabies, Animal, Cum 2021†","Rabies, Animal, Cum 2021†, flag","Rabies, Animal, Cum 2020†","Rabies, Animal, Cum 2020†, flag","Rabies, Human, Current week","Rabies, Human, Current week, flag","Rabies, Human, Previous 52 weeks Max†","Rabies, Human, Previous 52 weeks Max†, flag","Rabies, Human, Cum 2021†","Rabies, Human, Cum 2021†, flag","Rabies, Human, Cum 2020†","Rabies, Human, Cum 2020†, flag",Location 1,Location 2,Reporting Area Sort,geocode
DISTRICT OF COLUMBIA,2021,1,,-,0,,,-,,-,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20210130,POINT (-77.016275 38.904785)
FLORIDA,2021,1,2,,34,,2,,16,,,-,0,,,-,,-,FLORIDA,,20210131,POINT (-82.420978 28.260731)
GEORGIA,2021,1,,-,0,,,-,,-,,-,0,,,-,,-,GEORGIA,,20210132,POINT (-83.426574 32.638481)
MARYLAND,2021,1,,-,0,,,-,,-,,-,0,,,-,,-,MARYLAND,,20210133,POINT (-76.687282 38.946466)
NORTH CAROLINA,2021,1,,-,11,,,-,10,,,-,0,,,-,,-,NORTH CAROLINA,,20210134,POINT (-79.130883 35.52603)
SOUTH CAROLINA,2021,1,,N,,NC,,N,,N,,-,0,,,-,,-,SOUTH CAROLINA,,20210135,POINT (-80.864614 33.878572)
VIRGINIA,2021,1,,-,0,,,-,,-,,-,0,,,-,,-,VIRGINIA,,20210136,POINT (-78.666382 37.510861)
WEST VIRGINIA,2021,1,,-,5,,,-,,-,,-,0,,,-,,-,WEST VIRGINIA,,20210137,POINT (-80.613729 38.642579)
EAST SOUTH CENTRAL,2021,1,,-,6,,,-,,-,,-,0,,,-,,-,,EAST SOUTH CENTRAL,20210138,
ALABAMA,2021,1,,-,4,,,-,,-,,-,0,,,-,,-,ALABAMA,,20210139,POINT (-86.844516 32.756889)
KENTUCKY,2021,1,,-,5,,,-,,-,,-,0,,,-,,-,KENTUCKY,,20210140,POINT (-85.290484 37.526683)
MISSISSIPPI,2021,1,,-,1,,,-,,-,,-,0,,,-,,-,MISSISSIPPI,,20210141,POINT (-89.65344 32.713378)
TENNESSEE,2021,1,,-,0,,,-,,-,,-,0,,,-,,-,TENNESSEE,,20210142,POINT (-86.343226 35.842998)
WEST SOUTH CENTRAL,2021,1,,-,33,,,-,5,,,-,0,,,-,,-,,WEST SOUTH CENTRAL,20210143,
ARKANSAS,2021,1,,-,3,,,-,,-,,-,0,,,-,,-,ARKANSAS,,20210144,POINT (-92.439162 34.899825)
LOUISIANA,2021,1,,-,0,,,-,,-,,-,0,,,-,,-,LOUISIANA,,20210145,POINT (-91.840238 30.921314)
OKLAHOMA,2021,1,,-,2,,,-,,-,,-,0,,,-,,-,OKLAHOMA,,20210146,POINT (-97.508297 35.583449)
TEXAS,2021,1,,-,33,,,-,5,,,-,0,,,-,,-,TEXAS,,20210147,POINT (-99.317341 31.447238)
ARIZONA,2021,1,,N,,NC,,N,,N,,-,0,,,-,,-,ARIZONA,,20210149,POINT (-111.664616 34.293239)
COLORADO,2021,1,,-,0,,,-,,-,,-,0,,,-,,-,COLORADO,,20210150,POINT (-105.547832 38.998552)
IDAHO,2021,1,,-,0,,,-,,-,,-,0,,,-,,-,IDAHO,,20210151,POINT (-114.659366 44.389073)
MONTANA,2021,1,,-,2,,,-,,-,,-,0,,,-,,-,MONTANA,,20210152,POINT (-109.645127 47.033521)
NEVADA,2021,1,,-,2,,,-,,-,,-,0,,,-,,-,NEVADA,,20210153,POINT (-114.916992 39.283294)
NEW MEXICO,2021,1,,-,2,,,-,,-,,-,0,,,-,,-,NEW MEXICO,,20210154,POINT (-106.108388 34.421369)
UTAH,2021,1,,-,3,,,-,,-,,-,0,,,-,,-,UTAH,,20210155,POINT (-111.678222 39.323779)
WYOMING,2021,1,,-,0,,,-,,-,,-,0,,,-,,-,WYOMING,,20210156,POINT (-107.55145 42.999627)
PACIFIC,2021,1,,-,10,,,-,,-,,-,0,,,-,,-,,PACIFIC,20210157,
ALASKA,2021,1,,-,0,,,-,,-,,-,0,,,-,,-,ALASKA,,20210158,POINT (-151.631889 63.631126)
CALIFORNIA,2021,1,,-,9,,,-,,-,,-,0,,,-,,-,CALIFORNIA,,20210159,POINT (-119.662127 37.211164)
HAWAII,2021,1,,-,0,,,-,,-,,-,0,,,-,,-,HAWAII,,20210160,POINT (-157.854309 21.361013)
